allgenders_0age_avg_vote;allgenders_0age_votes;allgenders_18age_avg_vote;allgenders_18age_votes;allgenders_30age_avg_vote;allgenders_30age_votes;allgenders_45age_avg_vote;allgenders_45age_votes;males_allages_avg_vote;males_allages_votes;males_0age_avg_vote;males_0age_votes;males_18age_avg_vote;males_18age_votes;males_30age_avg_vote;males_30age_votes;males_45age_avg_vote;males_45age_votes;females_allages_avg_vote;females_allages_votes;females_0age_avg_vote;females_0age_votes;females_18age_avg_vote;females_18age_votes;females_30age_avg_vote;females_30age_votes;females_45age_avg_vote;females_45age_votes;votes;allgenders_allages_votes;allgenders_allages_avg_vote;main_actor;supporting_actor_1;supporting_actor_2
6.3;15.0;6.6;14001.0;6.3;34645.0;6.4;10970.0;6.3;34237.0;4.4;5.0;6.5;5506.0;6.2;20307.0;6.3;7378.0;6.6;26707.0;7.3;9.0;6.7;8302.0;6.4;13963.0;6.7;3407.0;59631.0;59631.0;6.6;Meg Ryan;Hugh Jackman;Liev Schreiber
8.4;56.0;8.3;24794.0;8.2;48726.0;8.4;23853.0;8.3;83710.0;8.3;46.0;8.3;20046.0;8.3;41329.0;8.4;19481.0;8.1;16067.0;9.2;9.0;8.0;4512.0;8.0;6914.0;8.3;4029.0;97429.0;97429.0;8.1;Fred MacMurray;Barbara Stanwyck;Edward G. Robinson
8.2;27.0;8.0;7244.0;7.9;18156.0;8.3;14095.0;8.0;33108.0;7.8;17.0;8.0;5969.0;7.9;15081.0;8.3;11052.0;8.1;7265.0;8.8;10.0;7.9;1209.0;8.0;2921.0;8.5;2869.0;39522.0;39522.0;7.9;Myrna Loy;Fredric March;Dana Andrews
7.4;9.0;7.6;2635.0;7.4;6714.0;7.8;5108.0;7.4;9330.0;6.3;3.0;7.5;1378.0;7.2;4089.0;7.7;3623.0;7.8;5430.0;8.6;6.0;7.8;1232.0;7.7;2569.0;8.1;1419.0;14466.0;14466.0;7.7;Judy Garland;Margaret O'Brien;Mary Astor
7.8;16.0;8.2;5054.0;7.9;13206.0;8.0;7882.0;8.0;21266.0;7.9;13.0;8.1;3836.0;7.9;10762.0;8.0;6184.0;8.2;5258.0;7.5;2.0;8.3;1165.0;8.2;2315.0;8.2;1620.0;26158.0;26158.0;8.0;Celia Johnson;Trevor Howard;Stanley Holloway
7.9;7.0;8.0;2746.0;7.9;6951.0;8.0;6506.0;7.9;12286.0;7.2;5.0;7.9;1905.0;7.9;5255.0;8.0;4792.0;8.1;4194.0;9.5;2.0;8.1;811.0;8.0;1614.0;8.2;1626.0;16210.0;16210.0;8.0;Joan Crawford;Jack Carson;Zachary Scott
8.2;14.0;7.7;5777.0;7.5;15722.0;7.6;9467.0;7.5;24835.0;7.9;10.0;7.6;4052.0;7.5;12453.0;7.6;7638.0;7.7;6740.0;8.8;4.0;7.8;1673.0;7.7;3105.0;7.8;1710.0;30980.0;30980.0;7.6;Ingrid Bergman;Gregory Peck;Michael Chekhov
8.1;19.0;7.8;10669.0;7.8;29438.0;8.2;18426.0;7.9;50261.0;8.4;13.0;7.8;8469.0;7.8;25017.0;8.2;15504.0;7.8;9168.0;7.6;6.0;7.7;2081.0;7.7;4130.0;8.1;2671.0;58552.0;58552.0;7.9;Humphrey Bogart;Lauren Bacall;John Ridgely
7.5;2.0;6.8;548.0;6.7;2367.0;6.9;3099.0;6.8;5135.0;5.0;1.0;6.8;423.0;6.7;1956.0;7.0;2635.0;6.7;961.0;10.0;1.0;6.7;125.0;6.8;385.0;6.7;429.0;6016.0;6016.0;6.9;Jennifer Jones;Joseph Cotten;Gregory Peck
6.8;4.0;7.7;2424.0;7.6;8053.0;8.1;6183.0;7.8;14050.0;7.0;2.0;7.7;1947.0;7.6;6762.0;8.1;5075.0;7.8;2790.0;6.5;2.0;7.7;464.0;7.7;1211.0;8.1;1048.0;16664.0;16664.0;7.8;John Mills;Tony Wager;Valerie Hobson
8.8;276.0;8.7;73707.0;8.5;127230.0;8.7;63104.0;8.6;214701.0;8.9;197.0;8.7;54693.0;8.5;99470.0;8.7;49394.0;8.6;60686.0;8.6;56.0;8.6;18106.0;8.5;26323.0;8.8;12751.0;264317.0;264317.0;8.5;James Stewart;Donna Reed;Lionel Barrymore
7.6;12.0;8.2;2365.0;8.0;6142.0;8.1;5511.0;8.1;12122.0;8.2;9.0;8.2;1931.0;8.0;5255.0;8.0;4601.0;8.0;2141.0;5.0;2.0;8.0;409.0;7.8;827.0;8.1;849.0;14030.0;14030.0;8.0;David Niven;Kim Hunter;Robert Coote
8.4;28.0;7.9;14675.0;7.9;34450.0;8.1;18387.0;7.9;55856.0;8.2;22.0;7.9;11396.0;7.9;28323.0;8.1;14610.0;8.1;12870.0;9.0;5.0;7.9;3124.0;8.1;5785.0;8.4;3518.0;67540.0;67540.0;7.9;Cary Grant;Ingrid Bergman;Claude Rains
7.8;4.0;8.0;2307.0;7.9;5829.0;7.8;3487.0;7.9;10235.0;8.0;3.0;8.1;1949.0;7.9;5062.0;7.8;2981.0;7.9;1540.0;7.0;1.0;7.8;329.0;7.8;706.0;7.9;464.0;11627.0;11627.0;7.9;Charles Chaplin;Mady Correll;Allison Roddan
8.2;8.0;7.6;1325.0;7.3;4393.0;7.5;4830.0;7.4;9302.0;8.1;6.0;7.7;1132.0;7.3;3823.0;7.5;4106.0;7.5;1416.0;7.0;1.0;7.6;183.0;7.4;529.0;7.6;664.0;10556.0;10556.0;7.7;Bud Abbott;Lou Costello;Lon Chaney Jr.
8.4;71.0;8.3;31871.0;8.3;49781.0;8.3;16176.0;8.3;85762.0;8.5;60.0;8.3;25887.0;8.3;42493.0;8.3;13788.0;8.2;15280.0;7.9;7.0;8.2;5633.0;8.2;6807.0;8.3;2140.0;97899.0;97899.0;8.1;Lamberto Maggiorani;Enzo Staiola;Lianella Carell
7.6;30.0;8.4;4681.0;8.2;10108.0;8.0;6112.0;8.2;16268.0;8.1;17.0;8.4;3311.0;8.2;7870.0;8.1;4640.0;8.1;5049.0;7.5;10.0;8.2;1318.0;8.1;2136.0;8.0;1415.0;20931.0;20931.0;8.2;Marius Goring;Jean Short;Gordon Littmann
8.2;59.0;8.1;25516.0;8.0;48424.0;7.8;18518.0;8.0;79992.0;8.3;46.0;8.1;20812.0;8.0;41055.0;7.8;15386.0;8.0;14705.0;7.9;9.0;8.1;4420.0;8.1;6849.0;8.0;2872.0;92517.0;92517.0;8.0;Dick Hogan;John Dall;Farley Granger
8.6;36.0;8.2;15573.0;8.1;38789.0;8.3;23362.0;8.2;71003.0;8.5;32.0;8.3;13624.0;8.2;34838.0;8.3;20237.0;7.9;8541.0;9.7;3.0;7.8;1827.0;7.8;3621.0;8.2;2815.0;77760.0;77760.0;8.0;Humphrey Bogart;Walter Huston;Tim Holt
7.3;20.0;8.2;3154.0;8.1;9777.0;8.3;7506.0;8.2;18448.0;7.6;13.0;8.2;2782.0;8.1;8834.0;8.2;6368.0;8.2;2331.0;1.0;6.0;8.1;352.0;8.1;860.0;8.3;1044.0;20457.0;20457.0;8.0;James Cagney;Virginia Mayo;Edmond O'Brien
8.1;45.0;8.2;18673.0;8.1;40041.0;8.4;23168.0;8.1;61988.0;8.0;33.0;8.2;13096.0;8.1;29893.0;8.3;16981.0;8.5;21899.0;8.6;9.0;8.3;5382.0;8.4;9759.0;8.7;5873.0;81927.0;81927.0;8.1;Bette Davis;Anne Baxter;George Sanders
7.6;6.0;7.8;2316.0;7.8;8447.0;8.0;6735.0;7.9;15820.0;7.8;5.0;7.8;1989.0;7.8;7548.0;8.0;5911.0;7.7;1902.0;7.0;1.0;7.6;308.0;7.5;808.0;8.0;733.0;17504.0;17504.0;7.9;Sterling Hayden;Louis Calhern;Jean Hagen
7.2;211.0;7.2;42289.0;7.2;48026.0;7.4;10792.0;7.0;62647.0;7.0;127.0;7.0;21372.0;7.0;30009.0;7.3;7994.0;7.7;42794.0;7.5;73.0;7.6;20238.0;7.7;17439.0;7.8;2631.0;101318.0;101318.0;7.4;Ilene Woods;Eleanor Audley;Verna Felton
8.2;68.0;8.2;28635.0;8.2;56317.0;8.3;18244.0;8.3;92937.0;8.4;57.0;8.3;24393.0;8.2;49721.0;8.3;15468.0;8.1;13000.0;7.4;8.0;8.0;3941.0;8.1;6066.0;8.2;2519.0;103264.0;103264.0;8.1;Toshirô Mifune;Machiko Kyô;Masayuki Mori
8.6;88.0;8.4;36216.0;8.4;70157.0;8.5;30399.0;8.4;114898.0;8.5;70.0;8.4;28611.0;8.3;57666.0;8.5;24357.0;8.4;25630.0;9.2;15.0;8.4;7244.0;8.4;11782.0;8.5;5557.0;136860.0;136860.0;8.2;William Holden;Gloria Swanson;Erich von Stroheim
8.0;24.0;7.6;6653.0;7.5;23551.0;8.1;21309.0;7.7;43199.0;8.1;19.0;7.6;5254.0;7.5;19558.0;8.1;17323.0;7.9;9099.0;7.5;5.0;7.6;1342.0;7.7;3779.0;8.3;3718.0;51537.0;51537.0;7.9;Humphrey Bogart;Katharine Hepburn;Robert Morley
6.8;19.0;7.2;4217.0;7.0;9536.0;7.4;7492.0;7.1;15627.0;6.5;15.0;7.2;2651.0;6.9;6789.0;7.3;5695.0;7.3;6119.0;7.5;4.0;7.2;1519.0;7.2;2626.0;7.6;1686.0;21264.0;21264.0;7.3;Gene Kelly;Leslie Caron;Oscar Levant
7.6;23.0;8.3;4294.0;8.2;10592.0;8.1;6045.0;8.2;19053.0;7.9;14.0;8.3;3799.0;8.2;9535.0;8.1;5161.0;8.1;2258.0;6.1;8.0;8.1;451.0;8.1;941.0;8.2;799.0;20954.0;20954.0;8.0;Kirk Douglas;Jan Sterling;Robert Arthur
8.4;29.0;8.0;18125.0;7.9;38539.0;8.0;16762.0;7.9;56272.0;8.3;23.0;8.0;12219.0;7.8;29411.0;8.0;13065.0;8.1;18617.0;8.5;6.0;8.1;5709.0;8.1;8765.0;8.3;3472.0;73455.0;73455.0;8.0;Vivien Leigh;Marlon Brando;Kim Hunter
8.2;4.0;8.0;1247.0;7.8;4210.0;7.7;4024.0;7.8;7949.0;7.5;2.0;8.1;982.0;7.9;3483.0;7.7;3309.0;7.7;1652.0;9.0;2.0;7.9;256.0;7.6;683.0;7.8;665.0;9485.0;9485.0;7.8;Lana Turner;Kirk Douglas;Walter Pidgeon
8.7;165.0;8.4;42423.0;8.2;70629.0;8.3;34042.0;8.2;109052.0;8.8;117.0;8.3;27471.0;8.1;50735.0;8.2;25939.0;8.5;43486.0;8.7;37.0;8.4;14431.0;8.5;19162.0;8.5;7598.0;147259.0;147259.0;8.2;Gene Kelly;Donald O'Connor;Debbie Reynolds
8.3;6.0;7.6;1085.0;7.4;3082.0;7.6;3094.0;7.5;5699.0;7.5;2.0;7.6;741.0;7.3;2351.0;7.6;2471.0;7.5;1707.0;8.2;4.0;7.4;341.0;7.4;703.0;7.6;588.0;7267.0;7267.0;7.5;Fred Astaire;Cyd Charisse;Oscar Levant
7.7;10.0;7.7;4364.0;7.5;14221.0;7.8;12659.0;7.7;26029.0;7.4;9.0;7.7;3298.0;7.5;11575.0;7.8;10425.0;7.5;5831.0;9.0;1.0;7.5;1035.0;7.4;2510.0;7.7;2081.0;31254.0;31254.0;7.7;Burt Lancaster;Montgomery Clift;Deborah Kerr
6.8;17.0;7.2;5652.0;7.1;10384.0;7.2;6438.0;7.0;14689.0;6.4;8.0;7.1;2689.0;6.9;6548.0;7.1;5013.0;7.5;8328.0;7.5;9.0;7.4;2885.0;7.5;3719.0;7.4;1355.0;22491.0;22491.0;7.3;Jane Russell;Marilyn Monroe;Charles Coburn
6.9;6.0;7.2;1966.0;7.0;5615.0;7.1;4223.0;7.1;9980.0;7.0;4.0;7.2;1509.0;7.0;4612.0;7.1;3585.0;7.2;2016.0;5.0;1.0;7.1;440.0;7.2;943.0;7.3;568.0;11810.0;11810.0;7.2;Vincent Price;Frank Lovejoy;Phyllis Kirk
7.1;195.0;7.3;37110.0;7.3;38556.0;7.3;9315.0;7.2;59871.0;7.0;129.0;7.2;22038.0;7.2;27121.0;7.3;7306.0;7.5;28989.0;7.3;57.0;7.6;14395.0;7.5;10941.0;7.5;1858.0;85176.0;85176.0;7.4;Bobby Driscoll;Kathryn Beaumont;Hans Conried
8.0;2.0;6.8;552.0;6.6;2351.0;6.8;3477.0;6.7;5568.0;6.0;1.0;6.7;426.0;6.6;2005.0;6.8;2963.0;7.0;948.0;10.0;1.0;7.0;121.0;6.7;325.0;7.2;475.0;6382.0;6382.0;6.9;Richard Burton;Jean Simmons;Victor Mature
8.5;88.0;8.3;30363.0;8.2;53628.0;8.0;22989.0;8.2;91454.0;8.5;67.0;8.3;24320.0;8.2;44668.0;8.0;18742.0;8.2;18973.0;8.5;16.0;8.2;5760.0;8.1;8429.0;8.2;3917.0;107068.0;107068.0;8.1;Ray Milland;Grace Kelly;Robert Cummings
8.1;23.0;7.7;5721.0;7.5;9937.0;7.3;4681.0;7.5;18990.0;8.1;18.0;7.8;5131.0;7.5;9007.0;7.3;4110.0;7.3;1910.0;7.5;2.0;7.3;519.0;7.3;829.0;7.2;501.0;20362.0;20362.0;7.7;Akira Takarada;Momoko Kôchi;Akihiko Hirata
8.7;253.0;8.5;85782.0;8.4;154443.0;8.6;60095.0;8.4;253332.0;8.8;200.0;8.5;66590.0;8.4;126771.0;8.5;48390.0;8.5;57655.0;8.5;34.0;8.4;18127.0;8.4;25857.0;8.7;10760.0;300573.0;300573.0;8.4;James Stewart;Grace Kelly;Wendell Corey
9.1;150.0;8.6;51724.0;8.6;124249.0;8.7;41196.0;8.7;203366.0;9.1;122.0;8.7;45928.0;8.7;112706.0;8.7;36148.0;8.3;20720.0;8.8;20.0;8.2;5238.0;8.3;10250.0;8.4;4394.0;217319.0;217319.0;8.4;Toshirô Mifune;Takashi Shimura;Keiko Tsushima
8.0;8.0;7.8;1752.0;7.4;4532.0;7.6;5025.0;7.6;8349.0;8.8;5.0;7.8;1147.0;7.4;3219.0;7.6;3759.0;7.6;3151.0;6.7;3.0;7.7;584.0;7.5;1265.0;7.6;1203.0;11317.0;11317.0;7.8;Judy Garland;James Mason;Jack Carson
7.2;151.0;7.3;33956.0;7.3;38704.0;7.5;10411.0;7.2;56155.0;7.1;96.0;7.1;18954.0;7.1;26231.0;7.4;8018.0;7.7;30368.0;7.3;45.0;7.6;14388.0;7.6;11995.0;7.9;2250.0;83222.0;83222.0;7.4;Peggy Lee;Larry Roberts;Bill Baucom
8.4;28.0;8.0;12981.0;7.9;31252.0;8.1;16728.0;8.0;53493.0;8.5;23.0;8.0;11032.0;7.9;27125.0;8.1;13881.0;8.0;8482.0;8.2;5.0;8.0;1815.0;8.0;3784.0;8.1;2607.0;60989.0;60989.0;7.9;Robert Mitchum;Shelley Winters;Lillian Gish
